date,hip hop music,pop music,r and b music,country music,rock music,alternative music,kpop music,metal music,latin music,indie music
2018-01-01,11,23,0,56,31,41,24,67,43,43
2018-02-01,11,23,0,61,32,40,23,69,47,43
2018-03-01,11,23,0,59,32,38,22,69,46,42
2018-04-01,10,23,0,69,31,40,23,64,57,37
2018-05-01,10,22,0,57,30,36,23,64,46,38
2018-06-01,9,20,0,59,29,40,22,57,47,37
2018-07-01,9,19,0,56,28,36,22,57,42,39
2018-08-01,9,18,0,56,27,36,23,57,45,40
2018-09-01,10,21,1,52,29,37,22,56,57,40
2018-10-01,10,21,1,50,28,36,19,57,100,36
2018-11-01,10,22,0,63,29,35,24,61,50,40
2018-12-01,10,21,1,53,30,35,23,61,43,38
2019-01-01,10,20,0,53,28,35,22,57,40,36
2019-02-01,10,20,1,53,30,38,20,59,46,40
2019-03-01,10,20,1,57,29,34,20,60,41,37
2019-04-01,9,20,0,65,29,34,24,68,52,38
2019-05-01,9,21,0,58,29,33,23,57,40,38
2019-06-01,9,19,0,64,29,34,22,53,42,38
2019-07-01,8,18,0,56,25,33,20,53,38,35
2019-08-01,8,18,0,57,27,33,20,55,44,35
2019-09-01,9,21,0,100,28,33,18,55,49,34
2019-10-01,9,20,0,57,27,34,19,53,81,36
2019-11-01,9,20,0,71,29,35,22,60,49,35
2019-12-01,8,20,1,55,28,37,23,62,40,34
2020-01-01,8,20,0,61,26,35,21,57,37,35
2020-02-01,8,22,0,57,28,33,20,58,39,38
2020-03-01,8,21,0,56,26,31,20,52,35,38
2020-04-01,9,24,1,55,29,37,27,64,36,45
2020-05-01,8,23,0,50,27,36,28,67,39,40
2020-06-01,8,20,0,47,24,32,32,59,32,40
2020-07-01,7,20,0,45,23,33,30,51,35,41
2020-08-01,7,20,0,45,24,35,30,59,32,37
2020-09-01,8,22,1,56,25,34,28,54,39,39
2020-10-01,7,19,0,47,22,38,27,53,47,37
2020-11-01,6,18,1,46,23,35,28,51,40,33
2020-12-01,6,19,1,45,23,35,28,54,37,37
2021-01-01,7,20,0,43,23,33,27,51,68,36
2021-02-01,6,21,0,45,23,34,25,54,54,34
2021-03-01,6,18,1,43,23,31,27,55,46,35
2021-04-01,6,17,0,49,23,29,24,55,79,33
2021-05-01,7,18,1,46,23,29,28,51,35,32
2021-06-01,6,16,0,47,23,28,32,44,34,32
2021-07-01,5,16,0,45,22,27,29,47,33,34
2021-08-01,5,16,0,48,21,28,27,48,32,34
2021-09-01,6,17,1,45,22,30,26,47,50,31
2021-10-01,5,16,1,49,23,29,26,52,39,31
2021-11-01,5,18,0,52,23,37,28,49,69,31
2021-12-01,5,18,1,45,24,31,27,50,47,34
2022-01-01,6,18,1,47,26,37,31,58,52,36
2022-02-01,7,19,1,49,27,34,28,67,54,35
2022-03-01,7,21,1,59,27,33,27,65,53,34
2022-04-01,7,21,1,60,30,36,28,73,81,39
2022-05-01,6,20,1,66,28,33,28,68,44,34
2022-06-01,5,19,1,54,27,32,29,63,37,36
2022-07-01,5,17,1,51,26,31,29,66,34,33
2022-08-01,5,17,1,53,25,32,29,64,33,34
2022-09-01,5,18,1,52,27,32,28,67,47,33
2022-10-01,5,18,1,49,24,32,30,64,42,32
2022-11-01,5,19,1,49,25,34,31,61,64,32
2022-12-01,5,18,1,43,25,35,29,62,38,34
2023-01-01,5,18,1,48,25,32,28,64,42,34
2023-02-01,6,18,1,46,27,35,26,66,37,37
2023-03-01,6,18,1,46,26,33,26,64,37,41
2023-04-01,5,18,1,51,26,33,28,67,74,39
2023-05-01,5,18,1,54,24,29,28,67,39,30
2023-06-01,5,16,0,49,25,30,30,63,33,32
2023-07-01,4,15,0,52,23,30,32,64,33,30
2023-08-01,5,16,1,47,23,31,28,64,31,32
2023-09-01,6,18,1,49,23,30,26,65,44,32
2023-10-01,5,17,1,42,23,31,26,65,49,31
2023-11-01,5,18,1,45,25,33,27,67,58,34
2023-12-01,5,17,1,40,25,35,26,69,34,34
2024-01-01,5,17,1,44,25,33,24,66,38,34
2024-02-01,5,20,1,53,26,39,23,71,37,36
2024-03-01,5,19,1,52,25,37,23,71,41,33
2024-04-01,5,18,1,56,26,37,26,69,63,34
2024-05-01,5,19,1,51,26,36,25,68,40,35
2024-06-01,5,17,1,52,23,36,24,63,36,33
2024-07-01,4,16,1,45,22,32,24,65,32,33
2024-08-01,4,17,1,48,25,37,21,65,33,33
2024-09-01,5,19,1,50,26,38,23,72,43,36
2024-10-01,4,19,1,42,25,36,23,67,47,34
2024-11-01,5,19,1,49,26,38,25,72,42,34
2024-12-01,5,19,1,43,29,40,25,77,37,36
